name,roast,loc_country,origin_1,origin_2,X100g_USD,rating,review_date
Nicaragua La Benedicion SL28 Natural,Light,United States,Nueva Segovia,Nicaragua,11.73,94,20-Aug
Yemen Jabal Nabi Special Reserve,Medium-Light,United States,Hayma Dakhiliya Growing Region,Sana’A Governorate,12.3,94,22-Jan
Guatemala Bella Carmona,Medium-Light,United States,Antigua Growing Region,Guatemala,5.29,93,20-Dec
Ethiopia Tadese Yonka,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.58,93,19-Feb
Ethiopia Kayon Mountain Natural,Medium,United States,Odo Shakiso District,Guji Zone,6.17,94,19-Aug
Ethiopia Karamo Natural,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.22,93,22-Mar
Rwanda Kanzu,Medium-Light,United States,Nyamasheke,Rwanda,7.05,94,19-Feb
Colombia Pink Bourbon El Corazon,Medium-Light,United States,Tolima Department,Colombia,8.82,93,19-Jul
Guatemala Finca Granada Natural,Medium-Light,Hong Kong,La Libertad,Huehuetenango Department,11.02,92,21-Sep
Medina Natural,Medium-Light,United States,Antigua Growing Region,Guatemala,6.03,93,21-Aug
Burundi Buhorwa,Medium-Light,United States,Northern Burundi,Toraja Growing Region,4.41,94,18-Mar
El Salvador Monte Verde,Medium-Light,United States,Monte Verde,Santa Ana Department,4.41,92,22-Aug
Static Colombia Decaf Midnight,Medium,United States,Huila,Colombia,4.98,89,17-Dec
Ethiopia Natural Guji Hambela G1 Bishan Fugu,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.6,95,19-Apr
Colombia Finca Las Margaritas Natural Sudan Rume,Medium-Light,United States,Valle Del Cauca Growing Region,Colombia,17.64,94,20-May
Kenya Washed Nyeri Gichathaini Factory AB,Medium-Light,Taiwan,Yeri Growing Region,South-Central Kenya,5.52,94,21-Apr
Ethiopia Limu,Medium-Light,United States,Limu Woreda,Oromia Region,5.29,93,18-Oct
Kenya Nyeri Hill Farm AA TOP,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.94,94,22-Jun
Ethiopia Natural Guji Uraga G1 Lot 20-05,Medium-Light,Taiwan,Guji Zone,Oromia Region,5.31,94,21-Jan
Session Blend,Medium-Light,United States,Guatemala,Ethiopia,5.14,92,20-Jun
Ethiopia Gelgelu Natural Organic,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,3.97,93,17-Nov
Kariru Kenya,Medium-Light,United States,South-Central Kenya,Kirinyaga District,5.73,94,18-Oct
Quadratic Wizard Blend,Medium,United States,Brazil,Colombia,4.7,93,20-Jun
Ethiopia Washed Sidama Bensa Bombe,Light,Taiwan,Sidama Region,Ethiopia,5.31,94,21-Dec
Classic Blend,Medium-Light,United States,Nicaragua,Guatemala,5.29,93,22-Jun
Ethiopia Natural Hambela Wate,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.39,95,21-Jan
Hacienda Esmeralda Ethiopian Accessions,Light,United States,Boquete,Panama,11.02,95,22-Jan
Brazil Ipanema Black Edition A-41 Red Cherry,,Taiwan,Ipanema,Brazil,4.27,94,20-Jul
Colombian Anaerobic,Light,United States,Colombia,Dominican Republic,5.29,92,22-Sep
Ethiopia Guji Natural,Light,United States,Guji Zone,Oromia Region,5.29,94,20-Aug
Panama Elida Green-Tip Geisha La Torre ASD,Light,United States,Boquete Growing Region,Western Panama,26.46,95,21-Apr
Ethiopia Natural Guji Blue Donkey 21/01,Light,Taiwan,Guji Zone,Oromia Region,4.6,95,21-Jun
Kivu Belt Lot 32 Espresso,Medium-Light,United States,Nyamasheke District,Rwanda,4.76,93,19-Apr
Kenya Gicherori,Medium-Light,United States,Kiambu County,South-Central Kenya,7.05,91,17-Dec
Ethiopia Gera Estate Anaerobic Natural,Medium-Light,United States,Djimma Growing Region,Oromia State,6.47,95,22-Oct
Costa Rica Coto Brus-La Amistad,Medium-Light,United States,Coto Brus,Puntarenas,4.41,90,19-Jun
Kona Natural Espresso,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,27.76,95,22-Jun
El Salvador Pacamara,Medium-Light,United States,Ahuachapan,El Salvador,5.28,93,21-Aug
Brasil Ipanema Premier Cru Gold B69 Natural,Medium-Light,Taiwan,Sul De Minas Growing Region,Minas Gerais State,5.92,90,18-May
Kenya Nyeri Yerihar AA Lot 1901 Espresso,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.6,95,20-Feb
Twisted V.7 Espresso,Medium-Light,United States,Central America,South America,5,93,22-Mar
Papua New Guinea “Papa Kinne”,Medium-Light,United States,Purosa Village,Eastern Highlands,4.41,92,20-Sep
Colombia Tres Dragones,Medium-Light,United States,Caicedonia,Valle De Cauca Department,7.94,95,22-Jun
Sidamo Suke Quto,Medium,United States,Sidamo (Also Sidama) Growing Region,Southern Ethiopia,3.32,90,20-Feb
El Salvador Geisha Natural,Medium-Light,United States,Chalatenango,El Salvador,9.96,94,20-Jul
Ethiopia Natural Shakisso Mormora 74112,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.6,95,22-Jun
Nano Genji #7,Medium-Light,United States,Agaro Gera,Jimma Zone,5.58,95,22-Jul
Ka’u Typica Natural,Medium-Light,United States,Ka'U Growing Region,Big Island Of Hawai'I,14.11,92,19-May
Schweik’s Blend,Light,United States,Africa,Tarrazu Growing Region,3.95,94,22-Feb
‘Ōpio Kona,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,11.46,91,22-Feb
Esmeralda Estate Panama Geisha,,England,Boquete Growing Region,Western Panama,111.11,94,18-Aug
Kenya Kirinyaga Peaberry,Medium-Light,United States,Kirinyaga County,South-Central Kenya,6.47,93,20-Oct
Ethiopia Suke Quto Single-Origin Espresso,Medium-Light,United States,Guji Zone,Oromia Region,5.58,94,21-Feb
Ecuador Loja Hacienda La Papaya Bourbon Sidra 168hr Anaerobic Natural,Light,Taiwan,San Lorenzo,Saraguro,9.35,95,22-May
Syunmei Espresso Blend,Medium-Light,Taiwan,Ethiopia,Panama,8,92,22-Jun
Panama Elida Estate Catuaí Natural ASD,Medium-Light,United States,Boquete Growing Region,Western Panama,7.27,94,21-May
Ethiopia Shakiso Mormora,Medium-Light,United States,Guji Zone,Southern Ethiopia,4.7,92,17-Nov
Brazil Recreio Selectivo,Medium-Light,United States,São Sebastião De Grama,Brazil,4.11,92,18-Dec
Rwanda Rulindo Tumba,Medium-Light,United States,Northern Province,Rwanda,5,94,21-Jun
Brazil Fazenda Samambaia Natural Fermentation Arara,Medium-Light,Taiwan,Santo Antônio Do Amparo,Minas Gerais State,8.5,95,22-May
100% Kona Bourbon Pointu Laurina,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,27.76,95,20-Feb
Kiunyu Peaberry,Medium-Light,United States,South-Central Kenya,Santander,7.64,94,18-Nov
Classic Blend,Medium,Taiwan,Colombia,Guatemala,4.8,92,22-Feb
Black Swan Blend,Medium-Light,Taiwan,Colombia,Guatemala,3.68,94,20-Sep
Fruit of the Goddess Espresso Blend,Medium-Light,Taiwan,Kenya,Costa Rica,3.88,94,22-Oct
Kenya Karatina,Medium-Light,United States,Nyeri County,Kenya,6.91,94,21-Sep
Kenya Nyeri,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,8.23,93,21-Jan
Sidama Extreme Papilio Washed,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,7.35,94,20-Oct
Guatemala CODECH Women’s Lot,Medium-Light,United States,Concepción Huista,Huehuetenango Department,4.41,90,21-Nov
La Joya,Medium-Light,United States,San Jose,La Paz,5.29,93,20-Dec
DR Congo FTO Bourbon SOPACDI,Medium-Light,United States,Kalehe,South Kivu Province,5.29,94,18-Jun
Panama Abu Natural ASD Geisha BOP GN11,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,33.98,96,20-Nov
Guatemala Geisha,Light,Taiwan,Huehuetenango Department,Guatemala,16,94,21-Nov
Maui Kupa’a Orange Bourbon,Medium-Light,Hawai'i,Kula,Island Of Maui,17.64,93,19-May
Mojave Vault Series Geisha Natural,Light,United States,Volcan,Panama,22.02,94,21-Jul
Guatemala Coffea Diversa Geisha Queen Honey,Light,United States,Suchitan,Guatemala,22,93,21-Feb
Panama Esmeralda Geisha Natural,Medium-Light,United States,Boquete Growing Region,Western Panama,17.59,96,19-Dec
Guatemala Hunapu,Medium-Light,United States,Antigua Growing Region,Guatemala,5.14,93,18-Dec
Look for the Helpers,Light,United States,Ethiopia,Central America,3.82,91,21-Mar
Birambo Village DR Congo,Medium-Light,United States,South Kivu Province,Democratic Republic Of The Congo,5.26,91,20-Mar
Ethiopia Duromina,Medium-Light,United States,Agaro Gera,Jimma Zone,5.88,90,20-Aug
Honduras La Lesquinada Washed,Medium-Light,Taiwan,Copan,Honduras,3.54,92,17-Dec
Guatemala Bella Carmona,Medium-Light,Taiwan,Antigua Growing Region,Guatemala,5.82,93,20-Sep
Kenya AB Top,Medium-Light,Taiwan,Kenya,Gedeb District,5.66,93,20-Jun
Kabiufa Papua New Guinea,Light,United States,Kabiufa,Eastern Highlands,5.29,95,22-Jan
Honey Peru Huabal,Medium-Light,United States,Huabal,Peru,5.88,93,20-Jun
"Salvador, Kona",Medium,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,10.58,91,20-May
Kona Red Wine Process,Medium-Light,United States,Kona,Big Island Of Hawai’I,22,94,21-Oct
Testi Ayla Double Ethiopia,Light,United States,Sidama Zone,Oromia Region,16.15,97,21-Aug
Kona Tropical Punch Washed,Medium-Light,United States,Kona,Big Island Of Hawai’I,22.05,94,22-Jan
Kenya 168,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.16,93,21-Sep
El Triunfo Mexico,Medium-Light,United States,Sierra Madre,Chiapas,4.7,93,21-Nov
Kasasagi,Medium-Light,Taiwan,Guatemala,Costa Rica,8,92,22-Jun
Ethiopia Yirgacheffe Natural Espresso,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,94,18-Sep
Mbeguka Kenya,Medium-Light,United States,Kibugu Village,Embu County,5.86,93,19-Dec
Colombia Castillo Fruit Maceration Series (Strawberry),Medium-Light,United States,Armenia,Quindio Department,11.02,94,22-Oct
Kiniyota Burundi,Light,United States,Buhinyuza District,Muhinga Province,4.41,92,18-Jun
Peru Gesha Limited-Release Homer Alarcón Gayoso,Medium-Light,United States,Cajamarca,Peru,8.82,93,22-Oct
Ethiopia Sidamo Sasaba,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.29,92,19-Jun
Ethiopia Guji Hambela Wate Natural G1,Medium-Light,Taiwan,Guji Zone,Oromia Region,7.04,92,22-Nov
Colombia Monteblanco Purple Caturra Natural,Light,United States,Palestina Region,Huila Department,5.58,90,19-Mar
Ethiopia Guji Wush Wush Anaerobic Natural,Medium-Light,Taiwan,Guji Zone,Oromia Region,7.89,95,21-May
Rwanda Akagera CWS Fully Washed Lot 9,Medium-Light,Taiwan,Nyaruguru District,Rwanda,3.12,93,21-Jun
Ethiopia Dawencho 74110 Natural Espresso,Medium-Light,Taiwan,Arbegona,Sidama Region,19.84,94,22-May
Nyeri Hill Kenya,Medium-Light,United States,Nyeri Growing Region,Kenya,6.03,95,21-Jun
Sudan Rume,Medium-Light,United States,Valle Del Cauca Department,Colombia,13.23,95,21-Aug
Nicaragua Women Producers,Medium-Light,United States,La Fundadora,Jinotega,5.29,92,21-Mar
Cruz Loma,Medium-Light,United States,San José De Minas,Pichincha Province,11.02,94,22-Jul
Rwanda Mushonyi,Medium-Light,United States,Rustiro District,Western Province,8.8,91,19-Feb
Kenya Gichathaini,Medium-Light,United States,Mathira West District,Nyeri Growing Region,7.33,95,21-Oct
Rwanda Gatare Namasheke,Medium-Light,United States,Namasheke District,Western Province,5.58,93,20-May
Ethiopia Natural Yirgacheffe Blue Donkey Lot,Medium-Light,Taiwan,Kochere,Yirgacheffe Growing Region,4.25,94,19-Aug
Peru Antonio Regalado Diaz El Huyacan La Palma,Medium-Light,United States,Cajamarca,Peru,6.17,93,19-Jun
Ka’u Yellow Bourbon,Medium-Light,Hawai'i,Ka’U Growing Region,Big Island Of Hawai'I,11.64,94,21-Jan
Dodora Double,Light,United States,Gedeo Zone,Yirgacheffe Growing Region,8.77,96,18-Mar
Pena Blanca Black Honey,Medium-Light,United States,Los Planes,Comayagua,5.29,93,20-Dec
Lover’s Quarrel,Medium,United States,Bali,Indonesia,4.41,85,20-Jun
Gelena Abaya Natural,Medium-Light,United States,Yirgacheffe Growing Region,South-Central Ethiopia,4.7,91,20-Aug
Kenya Kiandu Peaberry,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,9.12,95,19-Dec
Kilauea Volcano Champagne Natural,Light,United States,Volcano,Puna District,26.41,95,20-Aug
Colombia Huila Palmera,Medium-Light,United States,Huila Colombia,Gedeb District,5,88,22-Jan
Ethiopian Sweet Lily,Medium-Light,United States,Guji Zone,Oromia Region,4.7,93,21-Nov
Ethiopia Suke Quto,Medium-Light,United States,Guji Zone,Oromia Region,4.19,92,17-Nov
Poseidon Blend Espresso,Medium-Light,Taiwan,Yirgacheffe,Sidamo,4.23,95,18-Nov
Coffea Diversa Yellow Dalle Honey,Light,United States,Suchitan,Guatemala,17.59,92,20-Nov
Ethiopia Guji Gerbicho Natural,Medium-Light,United States,Guji Zone,Southern Ethiopia,4.7,92,19-Oct
Cerro Azul Geisha,Medium-Light,United States,Trujillo,Valle Del Cauca,13.23,95,21-Dec
Private Reserve Ethiopia Barrel-Aged,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.58,92,21-Mar
Colombia Gesha,Medium-Light,United States,Aratoca,Santander Department,7.94,94,21-Sep
Espresso,Medium-Dark,United States,Quindío Department,Colombia,4.63,91,21-Mar
Kenya AA Top Gachatha,Medium-Light,Taiwan,South-Central Kenya,Embu County,9.6,93,18-Nov
Kiniyota Burundi,Medium-Light,United States,Buhinyuza District,Muhinga Province,5.17,95,18-Mar
Ethiopia Shantawane Buncho Honey,Light,United States,Sidama Region,South-Central Ethiopia,6.47,93,22-Jul
Indestec El Paraiso,Medium-Light,United States,Cauca,Colombia,8.52,94,20-May
La Soledad Colombia,Medium-Light,United States,Urrao,Antioquia Department,7.94,94,21-May
5a Sur,Medium,Guatemala,Antigua Growing Region,Guatemala,1.47,91,22-Nov
Guatemala Washed Finca El General Pache M-Plus Espresso,Medium,Taiwan,Acatenango Growing Region,Guatemala,3.54,93,19-Oct
Mama Cata Geisha Washed,Medium-Light,United States,Alto Quiel,Boquete Growing Region,15.87,94,18-Dec
Yemen Mocha Haimi,Medium-Light,United States,Al Hayma District,Sana’A Governorate,17.64,93,21-Oct
Guatemala Acatenango Geisha,Medium-Light,Taiwan,Acatenango,Guatemala,32,92,19-Dec
Estate Medium Roast,Medium-Light,Hawai'i,Ka'U Growing Region,Big Island Of Hawaii,13,93,18-Jan
Peru La Salina,Medium-Light,United States,Jaén Province,Cajamarca Region,5.29,93,19-Mar
Ecuador Peñaherrera AAA,Medium-Light,United States,Ibarra,Imbabura Province,7.35,95,22-Jun
Honduras Atanacio Nolasco,Medium,United States,Santa Elena,La Paz,5.29,90,20-Feb
Addis Katema,Light,United States,Wenango District,Gedeo Zone,5.51,93,21-Mar
Ethiopia Yirgacheffe Natural G1,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,91,17-Nov
Kenya Nyeri Asali Peaberry,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,7.05,95,22-Oct
Ka’u Red Caturra,Medium-Light,Hawai'i,Wood Valley,Ka’U,13.82,93,20-Aug
Zafiro,Medium-Light,Peru,Llayla District,Satipo Province,4,92,21-Jan
Kenya Wachuri,Medium,United States,Nyeri Growing Region,South-Central Kenya,6.47,95,20-Oct
Red Sunset by Andres Cardona,Medium-Light,United States,Santa Bárbara,Antioquia Department,7.05,94,22-Mar
Gatomboya Kenya,Medium-Light,United States,Nyeri County,Kenya,6.47,93,22-Jan
Haraz Special Red Yemen,Light,United States,Haraz Growing Region,North-Central Yemen,12.13,92,17-Dec
Ethiopia Guji,Medium-Light,United States,Guji Zone,Oromia Region,4.76,90,18-Nov
Burundi Gitwe Natural Bourbon,Medium-Light,United States,Kayanza Province,Burundi,4.52,93,18-Jun
El Peñon Nicaragua,Light,United States,Jinotega,Nicaragua,5.28,94,17-Dec
Karen J Kona Red Bourbon,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,22.02,96,22-Aug
Guatemala Bella Carmona,Medium-Light,United States,Antigua Growing Region,Guatemala,5.36,92,20-Sep
Kenya AA Top Lot,Medium,United States,South-Central Kenya,South-Central Kenya,3.51,93,18-Oct
Lekali Estate Reserve Nepal,Medium-Light,United States,Bhirkune Village,Nuwakot District,7.05,92,20-May
Meridiano Ecuador,Medium-Light,United States,Quito,Pichincha Province,5.29,93,22-Jun
Ka’u Red Caturra Peaberry,Medium-Light,Hawai'i,Wood Valley,Ka’U,14.7,94,20-Aug
Espresso Blend,Medium,United States,Brazil,East Timor,5,93,20-Dec
Coffea Diversa Liberica Carbonic Maceration,Light,United States,Biollet,Costa Rica,5.86,93,20-Jun
Ethiopia Sidamo G4 Natural Espresso,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,2.56,93,19-Aug
Panama Hacienda La Esmeralda Ethiopia Accessions,Light,United States,Boquete Growing Region,Western Panama,22,95,21-Oct
Holiday Blend,Medium,Canada,Ethiopia,Kenya,4.5,92,19-Dec
Papua New Guinea Baroida Washed,Medium-Light,Canada,Ainantu District,Eastern Highlands Province,4.65,92,21-Apr
Ecuador Hacienda Legrand Robusta,Medium-Light,United States,Santa Elena Province,Ecuador,5.57,93,21-Aug
Ninety Plus Gesha Estates JBC Custom Lot #252,Medium-Light,United States,Chiriqui Province,Far Western Panama,43.65,94,19-May
Colombia La Esperanza Winey Natural,Medium-Light,Taiwan,Valle De Cauca,Colombia,6.63,93,21-Jan
Worry Free Espresso,Medium-Light,Taiwan,Ethiopia,Honduras,5.66,92,22-Sep
Guatemala Huehuetenango Miralvalle Washed,Medium,Taiwan,Huehuetenango Growing Region,Guatemala,5.36,92,18-Aug
Chelbesa Ethiopia,Medium-Light,United States,Chelchele,Gedeb District,7.94,95,21-Nov
Signature Hazelnut Dark Chocolate,Medium,Taiwan,Brazil,Guatemala,3.4,93,18-Jun
Tanzania Peaberry,Medium-Light,United States,Ngorongoro Crater Region,Northern Tanzania,3.97,94,21-Jun
Invincible Sun God,Medium-Light,United States,Kenya,Ethiopia,4.7,92,19-Dec
Ethiopia Keramo Zero Oxygen Natural,Medium-Light,United States,Keramo Village,Sidama Region,24.25,94,20-Dec
Guardian Spirit Espresso Blend,Medium-Light,United States,Ethiopia,Brazil,4.7,93,18-May
Ethiopia Guji Shakiso G1 Honey,Medium-Light,Taiwan,Sidama Growing Region,Southern Ethiopia,5.66,94,22-May
“Fruity” Espresso Blend,Medium-Light,Hong Kong,Ethiopia,Kenya,11.45,95,17-Nov
Gura Kenya,Medium-Light,United States,Nyeri Growing Region,Kenya,6.47,93,21-Aug
Titan Blend (FTO),Medium,Taiwan,Ethiopia,Colombia,6.08,93,20-Aug
Ethiopia Biloya Washed G1,Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,7.2,92,22-Oct
Colombia Trujillo Experimental Process,Medium-Light,United States,Santa Barbara,Antioquia Department,7.35,94,21-Nov
Banco Gotete Ethiopia,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.44,94,19-Feb
Karamo Ethiopia,Medium-Light,United States,Sidama Growing Region,Ethiopia,5.58,94,22-Jun
Colombia Tolima Monteverde Estate Natural Wush Wush,Medium,Taiwan,Tolima Department,Colombia,17.07,94,19-May
Ka’u Pink Honey,Light,United States,Ka'U District,Big Island Of Hawai’I,22,94,21-Feb
Ecuador Quilanga Typica Yeast Fermentation,Medium-Light,United States,Quilanga,Ecuador,6.75,94,20-Apr
Guatemala Geisha,Medium-Light,Taiwan,El Progresso,Sierra De Las Minas,17.07,93,21-Sep
Honduras Marcala,Medium-Light,United States,Marcala Growing Region,La Paz Department,5.88,93,22-Jul
Butare Huye of Rwanda,Medium,United States,Rwanda,Dolores,5.29,91,19-Dec
Ethiopia Shantawene Washed,Medium-Light,United States,Idamo (Also Sidama) Growing Region,Southern Ethiopia,6.17,96,20-May
Kenya Kabingara,Medium-Light,United States,Kirinyaga District,South-Central Kenya,5.86,94,18-Nov
Ethiopia Yirgacheffe G1 Idido Natural,Light,Taiwan,Gedeo Zone,Snnp Region,8.8,95,22-Sep
Ka’u Bourbon Champagne Natural,Medium-Light,United States,Ka’U Growing Region,Big Island Of Hawai’I,26.46,94,22-Jan
Colombia El Obraje Gesha,Medium-Light,United States,Narino Department,Southern Colombia,14.11,94,18-Dec
Ethiopia Durato Bombe,Medium-Light,United States,Bombe Mountains,Sidama Region,5.58,94,22-Mar
Ethiopia Durato Bombe Natural,Light,United States,Bombe Mountains,Sidama Region,6.47,94,21-Nov
La Esperanza Colombia Estate,Medium-Light,United States,Valle De Cauca,Colombia,5.57,93,21-Mar
Chasing Horizon Natural Espresso,Medium,Taiwan,Ethiopia,Santa Barbara Department,11.33,95,22-Jun
Ethiopia Yirgacheffe Natural Farm Direct,Medium-Light,United States,Yirgacheffe Growing Region,South-Central Ethiopia,6.47,94,20-Sep
Ethiopia Gelana Abaya,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.41,92,17-Nov
Guatemala Pacamara Natural,Medium-Light,Taiwan,Acatenango Growing Region,Guatemala,20.53,95,18-Nov
Rwanda Kinini Village Natural,Medium-Light,United States,Northern Province,Rwanda,6.32,94,21-Jun
COE Sidama Bona 74110,Medium-Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,6.37,93,22-Feb
Kenya Kiambu Kiriga AA,Medium-Light,United States,Kiambu Growing Region,South-Central Kenya,4.08,93,21-Apr
Puna Champagne Natural Anaerobic,Medium-Light,United States,Puna,Big Island Of Hawai’I,17.59,93,19-Dec
Ethiopia Guji Uraga Tebe Burku Natural,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.93,94,22-Apr
Ethiopia Guji Buku,Medium-Light,United States,Kebele Buku Sayisa,Guji Zone,7.05,93,22-Apr
Wood Valley Single Estate Ka’u,Medium-Light,Hawai'i,Ka’U Growing Region,Big Island Of Hawai'I,10.58,93,20-Jun
Colombia Monteblanco Gesha Cold Fermentation,Medium,United States,Palestina Region,Huila Department,17.64,93,19-Nov
Ethiopia Hassen Ware Akrabi,Medium-Light,United States,Guji Zone,Oromia Region,6.61,94,20-Apr
Finca San Carlos,Medium-Light,Guatemala,Antigua Growing Region,Guatemala,3.82,94,20-Oct
Twisted V.5,Medium,United States,South America,Central America,4.63,93,19-Nov
El Salvador,Medium-Light,United States,Chalatenango Growing Region,Northwest El Salvador,7.33,93,18-May
Bolivia Finca El Arcangel,Medium-Light,Hong Kong,Caranavi,Bolivia,17.94,91,21-Sep
Panama Finca Lerida Geisha Washed,Medium-Light,United States,Alto Quiel,Boquete Growing Region,11.75,93,18-Dec
Burundi Nemba,Medium-Light,United States,Kayanza,Kabuye,4.98,93,18-May
Barokah Honey Sumatra,Medium-Light,United States,Gunung Tujuh,Kerinci,5.58,95,22-Mar
Costa Rica Microlot Series San Cristobal Natural,Medium-Light,United States,Llano Bonito,Naranjo,6.47,92,18-Oct
Sumatra Lintong,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5.58,93,21-Aug
Ethiopia Keramo Natural,Medium-Light,United States,Sidama Growing Region,Ethiopia,5.22,93,22-Jun
Tarrazu Asocafé Canet,Medium-Light,Taiwan,Tarrazu Growing Region,Costa Rica,7.05,92,20-Sep
Panama Geisha Alto Jaramillo,Medium-Light,United States,Alto Jaramillo,Boquete Growing Region,35.27,94,19-Sep
Ethiopia Sidama Telamo FTO Natural,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,6.76,95,20-Dec
Ethiopia Kayon Mountain (Natural),Light,United States,Odo Shakiso District,Guji Zone,5.58,94,20-Aug
Hawai’i Puna Anaerobic Washed,Medium-Light,United States,Puna Growing Region,Big Island Of Hawai’I,17.59,94,20-Oct
Colombia Buesaco,Medium-Light,United States,Nariño,Colombia,7.35,92,22-Oct
Taiwan Natural Alishan TFU’YA Kakalove Lot,Medium-Light,Taiwan,Alishan,Chia-Yi,19.82,95,21-Jun
Costa Rica Los Cedros,Medium-Light,United States,La Piedra De Rivas,Chirripó,6.17,93,22-Apr
Elida Natural Dragonfly Lot,Medium-Light,United States,Alto Quiel,Panama,5.88,95,20-Mar
Costa Rica Las Lajas Red Honey,Medium-Light,United States,Sabanilla De Alajuela,Costa Rica,4.69,93,21-Jan
Espresso Blend,Medium,Taiwan,Ethiopia,El Salvador,5.57,92,21-Aug
Guji Ethiopia Washed,Light,United States,Guji Zone,Oromia Region,5.29,94,21-Mar
Panama Finca Minerva-Mirage Pacamara BOP PAC04,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,16.99,95,20-Nov
Finca La Maria Geisha Natural,Light,Taiwan,Cundinamarca,Colombia,36.81,94,21-Feb
Kenya,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,8.46,95,22-Aug
Guatemala Single-Origin Espresso,Medium-Light,Taiwan,New Oriente Growing Region,Guatemala,5.38,93,22-Feb
Ethiopia Wush Wush,Light,United States,Sidama Growing Region,Southern Ethiopia,9.7,96,20-Apr
Madagascar Yellow Bourbon Santatra Coop,Medium-Light,United States,Madagascar,Odo Shakiso District,8.8,92,20-Jan
La Coipa Peru,Medium-Light,United States,San Ignacio,Cajamarca Region,5.58,93,21-Mar
Le Roi Espresso,Medium,Belgium,Brazil,Costa Rica,3.02,90,20-Feb
Ka‘ū Tropical Punch Washed,Medium-Light,United States,Ka‘Ū,Big Island Of Hawai’I,22.05,94,22-May
Sulawesi Toarco,Medium-Light,United States,Toraja Growing Region,South-Central Sulawesi,11.76,92,18-Sep
Thailand Pink Valley Natural,Medium-Light,United States,Chiang Rai Province,Thailand,7.33,93,21-Mar
Colombia Luis Alberto Montoya Antioquia,Medium-Light,United States,Antioquia,Colombia,5.44,92,18-Oct
Rwanda Gatare,Medium-Light,United States,Nyamasheke District,Western Province,6.47,94,22-May
Choco Blend,Medium-Light,Hong Kong,Brazil,Papua New Guinea,7.67,93,21-Jul
Ethiopia Hambela G1,Medium-Light,Taiwan,Guji Zone,Oromia Region,3.67,91,21-Aug
Ethiopia Reko Yirgacheffe,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,6.03,93,21-Aug
Rayo del Sol Peru,Medium-Light,United States,Panchia,Tabaconas,5.73,93,22-Apr
Sumatra Boru Batak,Medium-Light,United States,Lintongnihuta,Northern Sumatra,6.17,95,22-Apr
Kona Peaberry,Medium-Light,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,12.35,94,21-Apr
Karimikui Espresso,Medium-Light,United States,Kirinyaga District,South-Central Kenya,5.73,94,18-Aug
Ethiopia Yirgacheffe Aricha G1,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,4.8,93,19-Dec
Kona Mocca®,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,33.05,96,20-Nov
Ethiopia Bidimoo Chelelektu Natural,Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,8.46,92,22-Jul
El Salvador Finca Kilimanjaro,Medium-Light,United States,Santa Ana Department,El Salvador,7.35,95,17-Dec
Ethiopia Deri Kochoha,Medium-Light,United States,West Guji Zone,Oromia Region,5.29,93,18-Aug
Colombia Pink Bourbon,Medium-Light,United States,Pitalito,Huila Department,11.17,94,22-Jun
